episode,agent,avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count,opponent_collision_count,most_frequent_rank
1,C,-47.38,-94.56,0.12,0.24,0,0.00,100.00,Yes,0,774,3
1,B,-44.07,-87.97,0.13,0.27,0,0.00,100.00,Yes,706,708,1
1,A,-53.28,-106.35,0.13,0.26,0,0.00,100.00,Yes,119,1482,2
2,C,-29.46,-58.81,0.15,0.29,0,0.00,100.00,Yes,86,509,3
2,B,-36.06,-71.98,0.16,0.33,0,0.00,100.00,Yes,628,639,1
2,A,-39.77,-79.38,0.16,0.33,0,0.00,100.00,Yes,148,1148,2
3,C,-27.06,-54.01,0.16,0.31,0,0.00,100.00,Yes,50,537,3
3,B,-28.36,-56.61,0.17,0.34,0,0.00,100.00,Yes,538,582,1
3,A,-34.86,-69.59,0.17,0.34,0,0.00,100.00,Yes,445,1119,2
4,C,-15.34,-30.62,0.17,0.35,0,0.00,100.00,Yes,358,207,3
4,B,-33.34,-66.56,0.18,0.35,0,0.00,100.00,Yes,0,738,2
4,A,-42.45,-84.72,0.19,0.37,0,0.00,100.00,Yes,387,729,1
5,C,-23.34,-46.59,0.17,0.34,0,0.00,100.00,Yes,467,76,3
5,B,-15.24,-30.42,0.18,0.36,0,0.00,100.00,Yes,285,199,2
5,A,-20.34,-40.60,0.19,0.39,0,0.00,100.00,Yes,400,165,1
6,C,-30.84,-61.56,0.18,0.36,0,0.00,100.00,Yes,523,111,3
6,B,-27.93,-55.76,0.20,0.39,0,0.00,100.00,Yes,559,256,1
6,A,-37.84,-75.54,0.19,0.38,0,0.00,100.00,Yes,560,367,2
7,C,-20.54,-41.00,0.17,0.34,0,0.00,100.00,Yes,506,0,3
7,B,-20.74,-41.40,0.19,0.37,0,0.00,100.00,Yes,485,25,2
7,A,-24.64,-49.18,0.20,0.40,0,0.00,100.00,Yes,539,25,1
8,C,-24.04,-47.99,0.18,0.35,0,0.00,100.00,Yes,335,301,3
8,B,-25.74,-51.39,0.19,0.38,0,0.00,100.00,Yes,556,191,1
8,A,-31.65,-63.17,0.19,0.38,0,0.00,100.00,Yes,391,492,2
9,C,-35.54,-70.94,0.19,0.37,0,0.00,100.00,Yes,595,594,2
9,B,-26.75,-53.39,0.18,0.36,0,0.00,100.00,Yes,0,568,3
9,A,-27.43,-54.75,0.20,0.41,0,0.00,100.00,Yes,571,26,1
10,C,-48.68,-97.16,0.12,0.24,0,0.00,100.00,Yes,55,732,3
10,B,-52.28,-104.35,0.13,0.27,0,0.00,100.00,Yes,734,685,1
10,A,-53.58,-106.95,0.13,0.26,0,0.00,100.00,Yes,667,1417,2
11,C,-31.95,-63.77,0.18,0.36,0,0.00,100.00,Yes,567,321,3
11,B,-17.04,-34.02,0.19,0.39,0,0.00,100.00,Yes,378,101,2
11,A,-25.45,-50.81,0.19,0.38,0,0.00,100.00,Yes,551,422,1
12,C,-13.64,-27.23,0.16,0.31,0,0.00,100.00,Yes,315,176,3
12,B,-25.25,-50.39,0.17,0.34,0,0.00,100.00,Yes,547,176,2
12,A,-31.53,-62.94,0.20,0.41,0,0.00,100.00,Yes,616,0,1
