episode,agent,avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count,opponent_collision_count,most_frequent_rank
25,A,-2.25,-4.49,0.18,0.35,0,0.00,100.00,Yes,298,75,1
25,B,-31.37,-62.61,0.15,0.30,0,0.00,100.00,Yes,370,613,2
26,C,-10.85,-21.65,0.16,0.31,0,0.00,100.00,Yes,306,191,3
26,A,4.65,9.28,0.17,0.33,0,0.00,100.00,Yes,89,191,2
26,B,5.15,10.29,0.17,0.33,0,0.00,100.00,Yes,249,0,1
27,C,-46.27,-92.36,0.13,0.26,0,0.00,100.00,Yes,92,706,3
27,A,-41.77,-83.38,0.14,0.29,0,0.00,100.00,Yes,92,1313,2
27,B,-36.97,-73.79,0.15,0.29,0,0.00,100.00,Yes,647,607,1
28,C,-33.15,-66.17,0.16,0.31,0,0.00,100.00,Yes,12,625,3
28,A,-33.46,-66.78,0.17,0.33,0,0.00,100.00,Yes,0,1126,2
28,B,-27.05,-53.99,0.17,0.35,0,0.00,100.00,Yes,93,501,1
29,C,-25.65,-51.20,0.15,0.30,0,0.00,100.00,Yes,167,390,3
29,A,-13.75,-27.45,0.16,0.33,0,0.00,100.00,Yes,58,432,1
29,B,19.55,39.02,0.16,0.32,0,0.00,100.00,Yes,100,42,1
30,C,-21.14,-42.20,0.17,0.34,0,0.00,100.00,Yes,512,0,1
30,A,-9.75,-19.47,0.16,0.32,0,0.00,100.00,Yes,0,398,2
30,B,-9.75,-19.46,0.15,0.30,0,0.00,100.00,Yes,0,398,3
31,C,-26.85,-53.59,0.15,0.30,0,0.00,100.00,Yes,480,93,3
31,A,25.24,50.39,0.16,0.31,0,0.00,100.00,Yes,0,48,3
31,B,-13.35,-26.64,0.17,0.34,0,0.00,100.00,Yes,401,91,1
32,C,-44.27,-88.37,0.12,0.25,0,0.00,100.00,Yes,167,608,3
32,A,25.24,50.38,0.16,0.31,0,0.00,100.00,Yes,0,48,1
32,B,-27.88,-55.64,0.13,0.26,0,0.00,100.00,Yes,521,574,2
33,C,-45.38,-90.57,0.11,0.23,0,0.00,100.00,Yes,210,544,3
33,A,-33.58,-67.03,0.13,0.26,0,0.00,100.00,Yes,0,1180,2
33,B,-38.18,-76.20,0.14,0.27,0,0.00,100.00,Yes,670,636,1
34,C,-3.85,-7.68,0.15,0.30,0,0.00,100.00,Yes,0,339,3
34,A,-3.85,-7.69,0.16,0.32,0,0.00,100.00,Yes,0,339,2
34,B,8.35,16.67,0.17,0.34,0,0.00,100.00,Yes,217,0,1
35,C,-21.96,-43.82,0.14,0.29,0,0.00,100.00,Yes,74,446,3
35,A,-14.76,-29.46,0.15,0.31,0,0.00,100.00,Yes,0,633,2
35,B,7.95,15.86,0.16,0.32,0,0.00,100.00,Yes,126,187,1
36,C,-20.94,-41.80,0.17,0.34,0,0.00,100.00,Yes,510,0,1
36,A,28.64,57.17,0.16,0.33,0,0.00,100.00,Yes,0,14,2
36,B,3.55,7.08,0.15,0.30,0,0.00,100.00,Yes,251,14,3
37,C,-17.24,-34.42,0.15,0.31,0,0.00,100.00,Yes,473,0,1
37,A,-40.88,-81.59,0.12,0.25,0,0.00,100.00,Yes,24,709,1
37,B,-40.88,-81.60,0.12,0.23,0,0.00,100.00,Yes,0,709,2
38,C,-25.24,-50.38,0.16,0.33,0,0.00,100.00,Yes,511,49,1
38,A,-1.36,-2.72,0.15,0.29,0,0.00,100.00,Yes,0,314,1
38,B,-29.67,-59.22,0.14,0.29,0,0.00,100.00,Yes,307,299,2
39,C,-18.84,-37.61,0.17,0.33,0,0.00,100.00,Yes,200,321,2
39,A,0.55,1.09,0.17,0.34,0,0.00,100.00,Yes,31,278,1
39,B,-5.15,-10.29,0.15,0.31,0,0.00,100.00,Yes,313,43,3
40,C,-15.94,-31.82,0.17,0.33,0,0.00,100.00,Yes,460,0,1
40,A,-18.66,-37.24,0.16,0.31,0,0.00,100.00,Yes,0,487,2
40,B,-18.66,-37.24,0.15,0.29,0,0.00,100.00,Yes,0,487,3
41,C,-28.76,-57.41,0.11,0.21,0,0.00,100.00,Yes,588,0,3
41,A,27.94,55.77,0.15,0.31,0,0.00,100.00,Yes,0,21,2
41,B,1.15,2.30,0.16,0.33,0,0.00,100.00,Yes,275,21,1
42,C,-16.95,-33.83,0.14,0.29,0,0.00,100.00,Yes,0,470,3
42,A,9.34,18.64,0.15,0.30,0,0.00,100.00,Yes,0,207,2
42,B,-5.75,-11.47,0.16,0.32,0,0.00,100.00,Yes,315,263,1
43,C,-23.65,-47.21,0.16,0.32,0,0.00,100.00,Yes,374,366,2
43,A,19.14,38.21,0.16,0.31,0,0.00,100.00,Yes,0,109,3
43,B,1.35,2.69,0.17,0.34,0,0.00,100.00,Yes,255,257,1
44,C,-41.28,-82.39,0.11,0.22,0,0.00,100.00,Yes,161,552,3
44,A,-47.38,-94.58,0.12,0.25,0,0.00,100.00,Yes,0,1321,2
44,B,-47.38,-94.57,0.13,0.25,0,0.00,100.00,Yes,637,769,1
45,C,-13.95,-27.84,0.15,0.30,0,0.00,100.00,Yes,103,363,3
45,A,-0.66,-1.31,0.16,0.32,0,0.00,100.00,Yes,0,307,1
45,B,16.05,32.04,0.16,0.32,0,0.00,100.00,Yes,108,104,1
46,C,-4.25,-8.47,0.14,0.29,0,0.00,100.00,Yes,0,384,1
46,A,-45.58,-90.97,0.13,0.26,0,0.00,100.00,Yes,301,769,1
46,B,-34.98,-69.81,0.13,0.25,0,0.00,100.00,Yes,0,851,3
47,C,-13.94,-27.83,0.16,0.33,0,0.00,100.00,Yes,418,22,1
47,A,27.84,55.57,0.16,0.32,0,0.00,100.00,Yes,0,22,1
47,B,30.04,59.95,0.13,0.26,0,0.00,100.00,No,0,0,3
48,C,-42.57,-84.98,0.12,0.24,0,0.00,100.00,Yes,665,577,3
48,A,-38.28,-76.41,0.13,0.26,0,0.00,100.00,Yes,0,1232,2
48,B,-38.27,-76.40,0.13,0.26,0,0.00,100.00,Yes,504,655,1
49,C,-22.84,-45.59,0.17,0.33,0,0.00,100.00,Yes,529,0,1
49,A,29.44,58.76,0.15,0.31,0,0.00,100.00,Yes,0,6,1
49,B,11.55,23.05,0.15,0.30,0,0.00,100.00,Yes,179,6,2
50,C,-16.24,-32.41,0.17,0.35,0,0.00,100.00,Yes,463,0,1
50,A,-25.28,-50.45,0.14,0.27,0,0.00,100.00,Yes,269,553,2
50,B,-25.28,-50.45,0.13,0.25,0,0.00,100.00,Yes,0,553,3
51,C,-35.46,-70.78,0.14,0.28,0,0.00,100.00,Yes,125,790,2
51,A,-16.77,-33.47,0.15,0.29,0,0.00,100.00,Yes,0,563,1
51,B,-16.77,-33.47,0.14,0.27,0,0.00,100.00,Yes,0,513,3
52,C,-38.26,-76.36,0.12,0.25,0,0.00,100.00,Yes,0,683,3
52,A,-42.27,-84.37,0.13,0.27,0,0.00,100.00,Yes,40,683,2
52,B,22.85,45.61,0.15,0.31,0,0.00,100.00,Yes,72,0,1
53,C,-25.25,-50.39,0.15,0.29,0,0.00,100.00,Yes,504,181,3
53,A,20.24,40.40,0.15,0.30,0,0.00,100.00,Yes,0,98,1
53,B,10.35,20.66,0.15,0.30,0,0.00,100.00,Yes,71,197,2
54,C,-20.34,-40.60,0.16,0.32,0,0.00,100.00,Yes,504,0,1
54,A,30.03,59.95,0.14,0.28,0,0.00,100.00,No,0,0,3
54,B,30.05,59.98,0.15,0.31,0,0.00,100.00,No,0,0,2
55,C,-20.34,-40.60,0.14,0.28,0,0.00,100.00,Yes,119,385,3
55,A,-58.28,-116.33,0.13,0.26,0,0.00,100.00,Yes,406,756,1
55,B,-32.27,-64.42,0.13,0.26,0,0.00,100.00,Yes,313,371,2
56,C,-17.14,-34.21,0.17,0.34,0,0.00,100.00,Yes,457,15,1
56,A,-24.96,-49.83,0.15,0.30,0,0.00,100.00,Yes,0,550,2
56,B,-23.46,-46.83,0.14,0.28,0,0.00,100.00,Yes,0,535,3
57,C,-10.44,-20.84,0.16,0.32,0,0.00,100.00,Yes,169,236,2
57,A,6.43,12.84,0.15,0.29,0,0.00,100.00,Yes,0,236,1
57,B,30.04,59.96,0.13,0.26,0,0.00,100.00,No,0,0,3
58,C,-20.54,-41.00,0.17,0.34,0,0.00,100.00,Yes,480,26,1
58,A,26.63,53.15,0.14,0.28,0,0.00,100.00,Yes,8,26,3
58,B,16.15,32.24,0.17,0.33,0,0.00,100.00,Yes,139,0,2
59,C,-43.27,-86.36,0.12,0.24,0,0.00,100.00,Yes,383,438,3
59,A,-32.58,-65.02,0.13,0.25,0,0.00,100.00,Yes,0,686,3
59,B,-39.57,-78.99,0.13,0.26,0,0.00,100.00,Yes,0,964,2
60,C,-10.84,-21.64,0.16,0.32,0,0.00,100.00,Yes,375,34,1
60,A,-16.38,-32.69,0.14,0.28,0,0.00,100.00,Yes,274,451,1
60,B,-11.67,-23.30,0.13,0.25,0,0.00,100.00,Yes,0,417,3
