episode,agent,avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count,opponent_collision_count,most_frequent_rank
1,C,-9.35,-18.66,0.16,0.31,0,0.00,100.00,Yes,394,0,3
1,B,-11.45,-22.85,0.18,0.36,0,0.00,100.00,Yes,0,415,2
1,A,-21.95,-43.81,0.19,0.37,0,0.00,100.00,Yes,388,415,1
2,C,-31.97,-63.81,0.13,0.27,0,0.00,100.00,Yes,71,549,3
2,B,-36.27,-72.39,0.15,0.30,0,0.00,100.00,Yes,640,648,1
2,A,-44.87,-89.57,0.15,0.30,0,0.00,100.00,Yes,294,1197,2
3,C,-20.04,-40.00,0.17,0.33,0,0.00,100.00,Yes,501,0,2
3,B,-4.54,-9.07,0.18,0.36,0,0.00,100.00,Yes,242,104,1
3,A,-37.07,-73.98,0.15,0.29,0,0.00,100.00,Yes,567,104,3
4,C,-6.45,-12.87,0.16,0.31,0,0.00,100.00,Yes,17,348,3
4,B,-25.75,-51.40,0.17,0.33,0,0.00,100.00,Yes,423,348,2
4,A,-31.14,-62.15,0.20,0.40,0,0.00,100.00,Yes,612,0,1
5,C,-44.97,-89.77,0.12,0.25,0,0.00,100.00,Yes,0,750,3
5,B,-42.27,-84.38,0.14,0.28,0,0.00,100.00,Yes,680,708,1
5,A,-53.18,-106.14,0.14,0.27,0,0.00,100.00,Yes,200,1458,2
6,C,-46.67,-93.15,0.13,0.27,0,0.00,100.00,Yes,0,1494,3
6,B,-47.87,-95.55,0.14,0.27,0,0.00,100.00,Yes,0,1429,2
6,A,-55.37,-110.52,0.14,0.29,0,0.00,100.00,Yes,210,1469,1
7,C,-10.34,-20.64,0.18,0.35,0,0.00,100.00,Yes,398,38,3
7,B,-36.24,-72.34,0.18,0.37,0,0.00,100.00,Yes,0,701,2
7,A,-43.55,-86.92,0.19,0.39,0,0.00,100.00,Yes,428,663,1
8,C,-47.77,-95.35,0.13,0.27,0,0.00,100.00,Yes,81,712,3
8,B,-41.47,-82.78,0.14,0.28,0,0.00,100.00,Yes,677,712,2
8,A,-28.64,-57.17,0.20,0.39,0,0.00,100.00,Yes,587,0,1
9,C,-10.44,-20.84,0.17,0.35,0,0.00,100.00,Yes,365,60,3
9,B,-11.44,-22.83,0.19,0.38,0,0.00,100.00,Yes,388,37,1
9,A,-26.14,-52.18,0.19,0.38,0,0.00,100.00,Yes,530,97,2
10,C,-13.14,-26.23,0.17,0.34,0,0.00,100.00,Yes,432,0,1
10,B,-55.57,-110.92,0.12,0.24,0,0.00,100.00,Yes,0,856,2
10,A,-55.56,-110.91,0.12,0.24,0,0.00,100.00,Yes,29,856,1
11,C,-27.54,-54.96,0.18,0.36,0,0.00,100.00,Yes,574,11,3
11,B,-28.63,-57.15,0.19,0.38,0,0.00,100.00,Yes,0,596,2
11,A,-40.54,-80.91,0.20,0.39,0,0.00,100.00,Yes,576,585,1
12,C,-27.84,-55.57,0.18,0.36,0,0.00,100.00,Yes,530,114,3
12,B,-23.84,-47.58,0.19,0.39,0,0.00,100.00,Yes,470,416,1
12,A,-32.35,-64.56,0.19,0.38,0,0.00,100.00,Yes,199,530,2
13,C,-35.06,-69.99,0.15,0.30,0,0.00,100.00,Yes,58,593,3
13,B,-37.87,-75.58,0.16,0.32,0,0.00,100.00,Yes,637,642,1
13,A,-41.07,-81.98,0.16,0.32,0,0.00,100.00,Yes,130,1235,2
14,C,-14.63,-29.20,0.18,0.37,0,0.00,100.00,Yes,447,0,3
14,B,-20.13,-40.18,0.20,0.39,0,0.00,100.00,Yes,502,0,2
14,A,9.89,19.75,0.23,0.47,0,0.00,100.00,Yes,202,0,1
15,C,-39.57,-78.98,0.14,0.29,0,0.00,100.00,Yes,84,620,3
15,B,-36.17,-72.19,0.15,0.30,0,0.00,100.00,Yes,653,620,2
15,A,-20.53,-40.98,0.20,0.40,0,0.00,100.00,Yes,506,0,1
16,C,-24.54,-48.98,0.18,0.36,0,0.00,100.00,Yes,527,102,3
16,B,-12.44,-24.83,0.19,0.37,0,0.00,100.00,Yes,0,500,2
16,A,-35.64,-71.14,0.20,0.40,0,0.00,100.00,Yes,622,426,1
17,C,-32.74,-65.35,0.18,0.35,0,0.00,100.00,Yes,609,42,3
17,B,-13.03,-26.01,0.19,0.38,0,0.00,100.00,Yes,419,42,2
17,A,5.19,10.36,0.23,0.45,0,0.00,100.00,Yes,249,0,1
18,C,-25.94,-51.78,0.18,0.36,0,0.00,100.00,Yes,469,282,3
18,B,-23.44,-46.79,0.19,0.39,0,0.00,100.00,Yes,0,817,2
18,A,-36.35,-72.55,0.21,0.41,0,0.00,100.00,Yes,377,535,1
19,C,-34.46,-68.77,0.17,0.33,0,0.00,100.00,Yes,110,550,3
19,B,-31.46,-62.79,0.18,0.35,0,0.00,100.00,Yes,541,606,1
19,A,-36.86,-73.57,0.18,0.35,0,0.00,100.00,Yes,548,1156,2
20,C,-23.14,-46.18,0.18,0.35,0,0.00,100.00,Yes,532,0,3
20,B,-14.73,-29.41,0.20,0.40,0,0.00,100.00,Yes,360,88,1
20,A,-33.87,-67.60,0.17,0.33,0,0.00,100.00,Yes,568,88,3
21,C,-30.55,-60.97,0.16,0.33,0,0.00,100.00,Yes,558,321,3
21,B,-27.45,-54.78,0.17,0.35,0,0.00,100.00,Yes,469,321,2
21,A,0.28,0.57,0.22,0.44,0,0.00,100.00,Yes,298,0,1
22,C,-25.04,-49.97,0.18,0.36,0,0.00,100.00,Yes,551,0,3
22,B,-20.32,-40.55,0.21,0.41,0,0.00,100.00,Yes,364,172,1
22,A,-11.82,-23.60,0.20,0.40,0,0.00,100.00,Yes,316,172,2
23,C,-30.46,-60.79,0.16,0.32,0,0.00,100.00,Yes,447,465,3
23,B,-34.96,-69.78,0.17,0.35,0,0.00,100.00,Yes,512,638,1
23,A,-35.06,-69.98,0.17,0.35,0,0.00,100.00,Yes,64,1103,2
24,C,-28.15,-56.19,0.18,0.35,0,0.00,100.00,Yes,547,409,3
24,B,-34.05,-67.97,0.19,0.38,0,0.00,100.00,Yes,484,282,1
24,A,-35.56,-70.97,0.19,0.38,0,0.00,100.00,Yes,545,691,2
25,C,-34.85,-69.56,0.18,0.35,0,0.00,100.00,Yes,642,379,3
25,B,-38.35,-76.55,0.19,0.38,0,0.00,100.00,Yes,530,676,1
25,A,-38.36,-76.56,0.19,0.38,0,0.00,100.00,Yes,129,1055,2
26,C,-18.23,-36.38,0.18,0.37,0,0.00,100.00,Yes,483,0,3
26,B,-1.52,-3.03,0.21,0.41,0,0.00,100.00,Yes,316,0,2
26,A,16.30,32.54,0.24,0.48,0,0.00,100.00,Yes,138,0,1
27,C,-32.35,-64.56,0.19,0.37,0,0.00,100.00,Yes,565,454,3
27,B,-15.95,-31.83,0.19,0.38,0,0.00,100.00,Yes,414,454,2
27,A,-10.91,-21.77,0.23,0.47,0,0.00,100.00,Yes,410,0,1
28,C,-23.02,-45.96,0.19,0.38,0,0.00,100.00,Yes,510,29,3
28,B,-5.12,-10.22,0.20,0.41,0,0.00,100.00,Yes,329,29,2
28,A,9.10,18.16,0.25,0.49,0,0.00,100.00,Yes,210,0,1
29,C,-27.24,-54.37,0.19,0.38,0,0.00,100.00,Yes,407,210,3
29,B,-19.54,-38.99,0.21,0.41,0,0.00,100.00,Yes,248,467,2
29,A,-35.84,-71.54,0.21,0.42,0,0.00,100.00,Yes,602,677,1
30,C,-19.12,-38.17,0.19,0.38,0,0.00,100.00,Yes,492,0,3
30,B,4.68,9.34,0.21,0.41,0,0.00,100.00,Yes,254,0,2
30,A,2.90,5.79,0.24,0.47,0,0.00,100.00,Yes,272,0,1
31,C,-44.06,-87.94,0.16,0.32,0,0.00,100.00,Yes,509,708,3
31,B,-41.06,-81.96,0.16,0.33,0,0.00,100.00,Yes,550,708,2
31,A,13.20,26.35,0.24,0.48,0,0.00,100.00,Yes,169,0,1
32,C,-29.43,-58.74,0.18,0.37,0,0.00,100.00,Yes,595,0,3
32,B,-11.62,-23.19,0.21,0.42,0,0.00,100.00,Yes,417,0,2
32,A,10.70,21.36,0.25,0.49,0,0.00,100.00,Yes,194,0,1
33,C,-25.92,-51.74,0.20,0.39,0,0.00,100.00,Yes,560,0,1
33,B,0.17,0.34,0.17,0.34,0,0.00,100.00,Yes,25,274,2
33,A,-23.96,-47.83,0.14,0.27,0,0.00,100.00,Yes,266,274,3
34,C,-17.72,-35.37,0.19,0.38,0,0.00,100.00,Yes,478,0,3
34,B,-3.51,-7.00,0.22,0.44,0,0.00,100.00,Yes,329,7,2
34,A,11.41,22.78,0.26,0.51,0,0.00,100.00,Yes,180,7,1
35,C,-23.83,-47.57,0.18,0.36,0,0.00,100.00,Yes,539,0,3
35,B,2.00,3.98,0.23,0.47,0,0.00,100.00,Yes,241,128,1
35,A,11.39,22.73,0.23,0.45,0,0.00,100.00,Yes,59,128,2
36,C,-24.72,-49.35,0.19,0.38,0,0.00,100.00,Yes,548,0,3
