episode,agent,avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count,opponent_collision_count,most_frequent_rank
36,B,-4.62,-9.22,0.21,0.42,0,0.00,100.00,Yes,347,0,2
36,A,18.20,36.33,0.24,0.49,0,0.00,100.00,Yes,119,0,1
37,C,-19.10,-38.13,0.21,0.43,0,0.00,100.00,Yes,492,0,3
37,B,-18.90,-37.72,0.24,0.47,0,0.00,100.00,Yes,0,490,2
37,A,-18.90,-37.72,0.25,0.49,0,0.00,100.00,Yes,17,490,1
38,C,-33.62,-67.10,0.21,0.41,0,0.00,100.00,Yes,615,37,3
38,B,-4.51,-9.01,0.21,0.43,0,0.00,100.00,Yes,330,37,2
38,A,14.60,29.15,0.25,0.49,0,0.00,100.00,Yes,155,0,1
39,C,-30.64,-61.15,0.20,0.39,0,0.00,100.00,Yes,588,256,2
39,B,-4.74,-9.46,0.20,0.39,0,0.00,100.00,Yes,219,304,3
39,A,21.30,42.52,0.23,0.46,0,0.00,100.00,Yes,40,48,1
40,C,-24.41,-48.73,0.20,0.41,0,0.00,100.00,Yes,492,68,3
40,B,6.29,12.55,0.21,0.42,0,0.00,100.00,Yes,207,68,2
40,A,24.61,49.12,0.25,0.50,0,0.00,100.00,Yes,55,0,1
41,C,-25.51,-50.92,0.20,0.41,0,0.00,100.00,Yes,556,0,1
41,B,-32.25,-64.36,0.16,0.31,0,0.00,100.00,Yes,25,603,2
41,A,-31.84,-63.56,0.16,0.31,0,0.00,100.00,Yes,268,603,3
42,C,-29.42,-58.72,0.20,0.40,0,0.00,100.00,Yes,561,107,3
42,B,-3.51,-7.01,0.21,0.41,0,0.00,100.00,Yes,301,107,2
42,A,26.41,52.72,0.26,0.51,0,0.00,100.00,Yes,37,0,1
43,C,-34.33,-68.52,0.19,0.38,0,0.00,100.00,Yes,644,0,3
43,B,7.62,15.21,0.25,0.50,0,0.00,100.00,Yes,209,78,2
43,A,17.61,35.15,0.25,0.51,0,0.00,100.00,Yes,47,78,1
44,C,-21.31,-42.54,0.21,0.41,0,0.00,100.00,Yes,514,0,3
44,B,10.80,21.56,0.24,0.47,0,0.00,100.00,Yes,193,0,2
44,A,18.51,36.95,0.25,0.51,0,0.00,100.00,Yes,116,0,1
45,C,-11.61,-23.17,0.21,0.42,0,0.00,100.00,Yes,417,0,3
45,B,11.40,22.76,0.23,0.47,0,0.00,100.00,Yes,187,0,2
45,A,29.12,58.13,0.28,0.56,0,0.00,100.00,Yes,10,0,1
46,C,-27.74,-55.37,0.18,0.37,0,0.00,100.00,Yes,543,323,3
46,B,-22.54,-45.00,0.19,0.39,0,0.00,100.00,Yes,469,323,2
46,A,29.61,59.10,0.25,0.51,0,0.00,100.00,Yes,5,0,1
47,C,-7.21,-14.39,0.19,0.37,0,0.00,100.00,Yes,373,0,3
47,B,-33.36,-66.58,0.17,0.34,0,0.00,100.00,Yes,0,634,2
47,A,-35.26,-70.38,0.18,0.35,0,0.00,100.00,Yes,623,634,1
48,C,-32.52,-64.91,0.20,0.40,0,0.00,100.00,Yes,626,0,3
48,B,9.90,19.76,0.23,0.46,0,0.00,100.00,Yes,202,0,2
48,A,28.32,56.52,0.27,0.54,0,0.00,100.00,Yes,18,0,1
49,C,-20.92,-41.76,0.18,0.35,0,0.00,100.00,Yes,510,0,3
49,B,10.10,20.17,0.23,0.46,0,0.00,100.00,Yes,200,0,2
49,A,29.42,58.73,0.28,0.56,0,0.00,100.00,Yes,7,0,1
50,C,-23.43,-46.76,0.19,0.39,0,0.00,100.00,Yes,499,147,3
50,B,-11.73,-23.41,0.22,0.43,0,0.00,100.00,Yes,411,147,2
50,A,21.82,43.56,0.28,0.55,0,0.00,100.00,Yes,83,0,1
51,C,-35.14,-70.14,0.15,0.30,0,0.00,100.00,Yes,652,0,3
51,B,-0.32,-0.63,0.22,0.44,0,0.00,100.00,Yes,304,0,2
51,A,24.02,47.95,0.28,0.55,0,0.00,100.00,Yes,61,0,1
52,C,-20.01,-39.93,0.21,0.42,0,0.00,100.00,Yes,484,21,3
52,B,-3.21,-6.40,0.22,0.44,0,0.00,100.00,Yes,333,21,2
52,A,25.22,50.33,0.27,0.54,0,0.00,100.00,Yes,49,0,1
53,C,-19.00,-37.92,0.22,0.44,0,0.00,100.00,Yes,478,50,2
53,B,-3.09,-6.18,0.24,0.47,0,0.00,100.00,Yes,303,61,1
53,A,-46.88,-93.57,0.14,0.29,0,0.00,100.00,Yes,758,11,3
54,C,-45.96,-91.73,0.11,0.22,0,0.00,100.00,Yes,760,0,3
54,B,15.81,31.56,0.25,0.49,0,0.00,100.00,Yes,143,0,2
54,A,25.72,51.33,0.27,0.55,0,0.00,100.00,Yes,44,0,1
55,C,-19.01,-37.94,0.21,0.43,0,0.00,100.00,Yes,491,0,1
55,B,-30.85,-61.58,0.18,0.37,0,0.00,100.00,Yes,174,435,2
55,A,-24.75,-49.40,0.19,0.37,0,0.00,100.00,Yes,154,435,1
56,C,-20.80,-41.52,0.22,0.43,0,0.00,100.00,Yes,509,0,1
56,B,-54.47,-108.72,0.15,0.31,0,0.00,100.00,Yes,685,167,3
56,A,-52.17,-104.13,0.16,0.32,0,0.00,100.00,Yes,655,167,2
57,C,-27.31,-54.51,0.21,0.41,0,0.00,100.00,Yes,574,0,3
57,B,20.81,41.53,0.24,0.47,0,0.00,100.00,Yes,93,0,2
57,A,25.62,51.14,0.28,0.56,0,0.00,100.00,Yes,45,0,1
58,C,-11.31,-22.57,0.20,0.40,0,0.00,100.00,Yes,414,0,3
58,B,4.60,9.17,0.22,0.44,0,0.00,100.00,Yes,255,0,2
58,A,20.54,41.00,0.29,0.59,0,0.00,100.00,Yes,96,0,1
59,C,-28.60,-57.08,0.22,0.44,0,0.00,100.00,Yes,587,0,1
59,B,-45.57,-90.96,0.15,0.29,0,0.00,100.00,Yes,637,719,3
59,A,-46.17,-92.16,0.15,0.31,0,0.00,100.00,Yes,727,719,2
60,C,-24.20,-48.31,0.21,0.41,0,0.00,100.00,Yes,543,0,1
60,B,-46.37,-92.56,0.15,0.30,0,0.00,100.00,Yes,348,759,3
60,A,-48.47,-96.75,0.16,0.31,0,0.00,100.00,Yes,707,759,2
61,C,-19.32,-38.55,0.22,0.43,0,0.00,100.00,Yes,494,0,3
61,B,8.11,16.19,0.24,0.49,0,0.00,100.00,Yes,207,13,2
61,A,11.92,23.79,0.27,0.53,0,0.00,100.00,Yes,169,13,1
62,C,-24.52,-48.94,0.18,0.35,0,0.00,100.00,Yes,546,0,1
62,B,-53.38,-106.54,0.14,0.28,0,0.00,100.00,Yes,0,834,3
62,A,-54.28,-108.34,0.14,0.29,0,0.00,100.00,Yes,793,834,2
63,C,-32.03,-63.93,0.20,0.39,0,0.00,100.00,Yes,621,0,3
63,B,4.10,8.19,0.23,0.46,0,0.00,100.00,Yes,260,0,2
63,A,24.13,48.17,0.29,0.57,0,0.00,100.00,Yes,60,0,1
64,C,-17.30,-34.54,0.21,0.41,0,0.00,100.00,Yes,474,0,3
64,B,-21.99,-43.88,0.26,0.53,0,0.00,100.00,Yes,30,491,2
64,A,-18.99,-37.90,0.27,0.53,0,0.00,100.00,Yes,21,491,1
65,C,-20.31,-40.53,0.22,0.44,0,0.00,100.00,Yes,504,0,1
65,B,-47.97,-95.74,0.16,0.32,0,0.00,100.00,Yes,212,723,3
65,A,-45.47,-90.75,0.17,0.34,0,0.00,100.00,Yes,697,723,2
66,C,-10.19,-20.34,0.24,0.48,0,0.00,100.00,Yes,403,0,3
66,B,19.71,39.35,0.24,0.49,0,0.00,100.00,Yes,104,0,2
66,A,26.43,52.76,0.29,0.58,0,0.00,100.00,Yes,37,0,1
67,C,-24.40,-48.70,0.23,0.45,0,0.00,100.00,Yes,530,46,3
67,B,9.60,19.16,0.23,0.46,0,0.00,100.00,Yes,192,46,2
67,A,24.43,48.76,0.28,0.55,0,0.00,100.00,Yes,57,0,1
68,C,-26.70,-53.29,0.21,0.42,0,0.00,100.00,Yes,568,0,2
68,B,8.21,16.39,0.25,0.49,0,0.00,100.00,Yes,200,19,1
68,A,-47.88,-95.57,0.14,0.29,0,0.00,100.00,Yes,766,19,3
69,C,-20.31,-40.53,0.20,0.39,0,0.00,100.00,Yes,504,0,3
69,B,21.31,42.53,0.24,0.48,0,0.00,100.00,Yes,59,29,2
69,A,7.63,15.23,0.27,0.55,0,0.00,100.00,Yes,213,29,1
70,C,-55.99,-111.75,0.09,0.19,0,0.00,100.00,Yes,860,0,3
70,B,2.20,4.39,0.23,0.45,0,0.00,100.00,Yes,279,0,2
70,A,15.43,30.80,0.29,0.57,0,0.00,100.00,Yes,147,0,1
71,C,-16.30,-32.54,0.22,0.44,0,0.00,100.00,Yes,464,0,1
71,B,-46.47,-92.75,0.15,0.30,0,0.00,100.00,Yes,650,747,3
71,A,-47.27,-94.35,0.16,0.32,0,0.00,100.00,Yes,733,747,2
72,C,-20.29,-40.51,0.22,0.44,0,0.00,100.00,Yes,504,0,3
72,B,10.62,21.20,0.26,0.52,0,0.00,100.00,Yes,195,0,2
72,A,8.93,17.82,0.28,0.56,0,0.00,100.00,Yes,212,0,1
73,C,-11.30,-22.56,0.21,0.43,0,0.00,100.00,Yes,414,0,2
73,B,-50.88,-101.56,0.12,0.24,0,0.00,100.00,Yes,809,0,3
73,A,6.92,13.80,0.27,0.54,0,0.00,100.00,Yes,232,0,1
74,C,-13.59,-27.13,0.23,0.46,0,0.00,100.00,Yes,437,0,3
74,B,7.21,14.39,0.24,0.48,0,0.00,100.00,Yes,229,0,2
74,A,6.43,12.84,0.29,0.57,0,0.00,100.00,Yes,237,0,1
75,C,-28.80,-57.48,0.22,0.44,0,0.00,100.00,Yes,589,0,3
75,B,12.11,24.18,0.24,0.48,0,0.00,100.00,Yes,180,0,2
75,A,23.44,46.78,0.29,0.58,0,0.00,100.00,Yes,67,0,1
76,C,-13.30,-26.55,0.21,0.43,0,0.00,100.00,Yes,434,0,2
76,B,25.22,50.34,0.26,0.51,0,0.00,100.00,Yes,17,32,1
76,A,-46.58,-92.97,0.13,0.27,0,0.00,100.00,Yes,734,32,3
77,C,-21.80,-43.51,0.21,0.41,0,0.00,100.00,Yes,519,0,1
77,B,-47.57,-94.95,0.15,0.30,0,0.00,100.00,Yes,492,727,3
77,A,-48.67,-97.15,0.16,0.31,0,0.00,100.00,Yes,717,727,2
78,C,-30.40,-60.68,0.21,0.42,0,0.00,100.00,Yes,605,0,3
78,B,11.71,23.37,0.23,0.47,0,0.00,100.00,Yes,184,0,2
78,A,-10.01,-19.98,0.24,0.48,0,0.00,100.00,Yes,401,0,1
79,C,-34.05,-67.96,0.12,0.24,0,0.00,100.00,Yes,641,0,3
79,B,-50.86,-101.52,0.17,0.34,0,0.00,100.00,Yes,459,728,2
79,A,-44.86,-89.55,0.17,0.35,0,0.00,100.00,Yes,657,728,1
80,C,-51.99,-103.76,0.10,0.20,0,0.00,100.00,Yes,820,0,3
80,B,-51.97,-103.74,0.15,0.30,0,0.00,100.00,Yes,375,809,2
80,A,-52.67,-105.14,0.16,0.31,0,0.00,100.00,Yes,704,809,1
81,C,-6.70,-13.36,0.21,0.42,0,0.00,100.00,Yes,368,0,3
81,B,14.52,28.98,0.26,0.52,0,0.00,100.00,Yes,156,0,2
81,A,-10.29,-20.54,0.28,0.55,0,0.00,100.00,Yes,404,0,1
82,C,-43.25,-86.33,0.12,0.23,0,0.00,100.00,Yes,733,0,3
82,B,-34.03,-67.93,0.21,0.42,0,0.00,100.00,Yes,104,613,2
82,A,-33.43,-66.74,0.22,0.43,0,0.00,100.00,Yes,520,613,1
83,C,-23.51,-46.93,0.21,0.43,0,0.00,100.00,Yes,536,0,3
83,B,14.51,28.96,0.24,0.49,0,0.00,100.00,Yes,156,0,2
83,A,11.13,22.21,0.27,0.54,0,0.00,100.00,Yes,190,0,1
84,C,-18.29,-36.51,0.22,0.44,0,0.00,100.00,Yes,484,0,1
84,B,-37.36,-74.58,0.15,0.31,0,0.00,100.00,Yes,402,272,2
84,A,-28.86,-57.61,0.15,0.29,0,0.00,100.00,Yes,366,272,3
85,C,-23.20,-46.30,0.20,0.40,0,0.00,100.00,Yes,533,0,1
85,B,-46.47,-92.76,0.14,0.27,0,0.00,100.00,Yes,614,746,3
85,A,-47.68,-95.16,0.15,0.29,0,0.00,100.00,Yes,775,746,2
86,C,-20.50,-40.91,0.22,0.44,0,0.00,100.00,Yes,506,0,1
86,B,-52.57,-104.94,0.14,0.28,0,0.00,100.00,Yes,773,766,3
86,A,-50.38,-100.55,0.15,0.30,0,0.00,100.00,Yes,764,766,2
87,C,-12.49,-24.93,0.23,0.46,0,0.00,100.00,Yes,426,0,3
87,B,17.72,35.36,0.25,0.50,0,0.00,100.00,Yes,113,11,2
87,A,-1.90,-3.79,0.26,0.53,0,0.00,100.00,Yes,309,11,1
88,C,-12.59,-25.12,0.23,0.47,0,0.00,100.00,Yes,427,0,3
88,B,21.23,42.37,0.27,0.54,0,0.00,100.00,Yes,89,0,2
88,A,16.63,33.19,0.27,0.55,0,0.00,100.00,Yes,135,0,1
89,C,-16.09,-32.13,0.21,0.43,0,0.00,100.00,Yes,462,0,2
89,B,24.21,48.32,0.25,0.50,0,0.00,100.00,Yes,59,0,1
89,A,-49.98,-99.76,0.14,0.28,0,0.00,100.00,Yes,800,0,3
90,C,-25.10,-50.09,0.22,0.44,0,0.00,100.00,Yes,552,0,1
90,B,-52.68,-105.14,0.14,0.27,0,0.00,100.00,Yes,730,745,3
90,A,-49.78,-99.36,0.14,0.29,0,0.00,100.00,Yes,791,745,2
91,C,-29.02,-57.93,0.16,0.33,0,0.00,100.00,Yes,591,0,3
91,B,-46.77,-93.36,0.14,0.29,0,0.00,100.00,Yes,435,745,2
91,A,-48.18,-96.16,0.15,0.30,0,0.00,100.00,Yes,754,745,1
92,C,-31.45,-62.77,0.15,0.30,0,0.00,100.00,Yes,615,0,3
92,B,-50.98,-101.75,0.13,0.26,0,0.00,100.00,Yes,0,810,2
92,A,-55.98,-111.74,0.14,0.28,0,0.00,100.00,Yes,797,810,1
93,C,-16.99,-33.91,0.23,0.47,0,0.00,100.00,Yes,471,0,3
93,B,16.82,33.57,0.25,0.51,0,0.00,100.00,Yes,133,0,2
93,A,2.93,5.86,0.28,0.56,0,0.00,100.00,Yes,272,0,1
94,C,-19.20,-38.32,0.22,0.45,0,0.00,100.00,Yes,493,0,1
94,B,-49.18,-98.16,0.13,0.25,0,0.00,100.00,Yes,649,782,3
94,A,-51.98,-103.75,0.14,0.27,0,0.00,100.00,Yes,820,782,2
95,C,-52.48,-104.76,0.10,0.20,0,0.00,100.00,Yes,825,0,3
95,B,8.33,16.62,0.27,0.53,0,0.00,100.00,Yes,198,32,2
95,A,-0.78,-1.55,0.27,0.54,0,0.00,100.00,Yes,298,32,1
96,C,-36.64,-73.14,0.13,0.26,0,0.00,100.00,Yes,667,0,3
96,B,-53.78,-107.34,0.14,0.28,0,0.00,100.00,Yes,763,797,2
96,A,-52.58,-104.95,0.15,0.29,0,0.00,100.00,Yes,752,797,1
97,C,-28.39,-56.67,0.22,0.43,0,0.00,100.00,Yes,585,0,1
97,B,-51.27,-102.34,0.15,0.29,0,0.00,100.00,Yes,495,772,3
97,A,-50.17,-100.15,0.15,0.31,0,0.00,100.00,Yes,751,772,2
98,C,-38.84,-77.52,0.14,0.28,0,0.00,100.00,Yes,689,0,3
98,B,-54.88,-109.53,0.14,0.27,0,0.00,100.00,Yes,0,849,2
98,A,-55.68,-111.14,0.14,0.28,0,0.00,100.00,Yes,810,849,1
99,C,-7.89,-15.75,0.22,0.45,0,0.00,100.00,Yes,380,0,1
99,B,-49.88,-99.55,0.14,0.27,0,0.00,100.00,Yes,703,760,3
99,A,-50.88,-101.55,0.15,0.29,0,0.00,100.00,Yes,793,760,2
100,C,-36.34,-72.54,0.19,0.37,0,0.00,100.00,Yes,664,0,3
100,B,14.13,28.20,0.27,0.54,0,0.00,100.00,Yes,155,10,2
100,A,4.93,9.84,0.28,0.56,0,0.00,100.00,Yes,252,10,1
101,C,-24.11,-48.11,0.19,0.38,0,0.00,100.00,Yes,542,0,1
101,B,-54.28,-108.34,0.13,0.25,0,0.00,100.00,Yes,567,833,3
101,A,-56.48,-112.74,0.13,0.27,0,0.00,100.00,Yes,828,833,2
102,C,-16.70,-33.33,0.21,0.43,0,0.00,100.00,Yes,468,0,1
102,B,-49.18,-98.16,0.12,0.25,0,0.00,100.00,Yes,0,792,3
102,A,-54.58,-108.95,0.13,0.26,0,0.00,100.00,Yes,826,792,2
103,C,-15.19,-30.32,0.22,0.44,0,0.00,100.00,Yes,453,0,1
103,B,-51.07,-101.94,0.15,0.29,0,0.00,100.00,Yes,749,773,3
103,A,-50.07,-99.95,0.15,0.31,0,0.00,100.00,Yes,727,773,2
104,C,-41.14,-82.12,0.15,0.29,0,0.00,100.00,Yes,712,0,3
104,B,-53.78,-107.34,0.14,0.27,0,0.00,100.00,Yes,747,778,2
104,A,-52.08,-103.95,0.14,0.29,0,0.00,100.00,Yes,797,778,1
105,C,-45.06,-89.94,0.11,0.22,0,0.00,100.00,Yes,713,81,3
105,B,-47.87,-95.54,0.15,0.29,0,0.00,100.00,Yes,651,128,2
105,A,-41.87,-83.56,0.16,0.33,0,0.00,100.00,Yes,592,209,1
106,C,-30.52,-60.92,0.16,0.33,0,0.00,100.00,Yes,606,0,3
106,B,-52.78,-105.34,0.14,0.27,0,0.00,100.00,Yes,758,780,2
106,A,-51.98,-103.75,0.15,0.29,0,0.00,100.00,Yes,788,780,1
107,C,-41.75,-83.33,0.18,0.37,0,0.00,100.00,Yes,718,0,3
107,B,19.63,39.18,0.27,0.53,0,0.00,100.00,Yes,93,12,2
107,A,-25.01,-49.92,0.26,0.51,0,0.00,100.00,Yes,546,12,1
108,C,-37.73,-75.32,0.15,0.29,0,0.00,100.00,Yes,678,0,3
108,B,-54.28,-108.35,0.12,0.24,0,0.00,100.00,Yes,613,799,2
108,A,-55.18,-110.15,0.13,0.25,0,0.00,100.00,Yes,811,799,1
109,C,-37.04,-73.94,0.20,0.39,0,0.00,100.00,Yes,671,0,1
109,B,-52.47,-104.74,0.14,0.29,0,0.00,100.00,Yes,785,790,3
109,A,-51.37,-102.54,0.15,0.30,0,0.00,100.00,Yes,768,790,2
110,C,-46.56,-92.94,0.11,0.21,0,0.00,100.00,Yes,766,0,3
110,B,-54.08,-107.94,0.13,0.26,0,0.00,100.00,Yes,0,841,2
110,A,-54.68,-109.14,0.14,0.27,0,0.00,100.00,Yes,832,841,1
111,C,-13.81,-27.56,0.23,0.45,0,0.00,100.00,Yes,439,0,1
111,B,-55.38,-110.54,0.12,0.24,0,0.00,100.00,Yes,7,849,3
