avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count
-45.93,-55.09,0.32,0.39,0,0.00,100.00,Yes,2278
-53.98,-64.75,0.09,0.11,0,0.00,100.00,Yes,2519
-41.81,-50.15,0.32,0.38,0,0.00,100.00,Yes,2155
-44.73,-53.65,0.09,0.11,0,0.00,100.00,Yes,2242
-49.82,-59.76,0.38,0.46,0,0.00,100.00,Yes,2395
-2.45,-3.19,0.49,0.64,0,0.00,100.00,Yes,698
-24.88,-29.84,0.43,0.52,0,0.00,100.00,Yes,1648
-40.00,-47.98,0.49,0.58,0,0.00,100.00,Yes,2101
-45.83,-54.98,0.09,0.11,0,0.00,100.00,Yes,2275
-21.80,-26.15,0.21,0.26,0,0.00,100.00,Yes,1556
4.14,5.65,0.49,0.66,0,0.00,100.00,Yes,486
-58.15,-69.75,0.19,0.23,0,0.00,100.00,Yes,2644
-50.06,-60.05,0.26,0.31,647,21.57,78.43,Yes,2402
-42.47,-50.94,0.48,0.58,166,5.54,94.46,Yes,2175
-49.53,-59.42,0.11,0.13,0,0.00,100.00,Yes,2386
-37.84,-45.39,0.12,0.14,0,0.00,100.00,Yes,2036
-46.10,-55.30,0.09,0.11,0,0.00,100.00,Yes,2283
-50.66,-60.77,0.23,0.28,528,17.61,82.39,Yes,2420
-61.05,-73.24,0.18,0.22,0,0.00,100.00,Yes,2731
-45.70,-54.82,0.09,0.11,0,0.00,100.00,Yes,2271
-59.92,-71.88,0.10,0.12,0,0.00,100.00,Yes,2697
-45.53,-54.62,0.09,0.11,0,0.00,100.00,Yes,2266
-61.72,-74.04,0.10,0.12,0,0.00,100.00,Yes,2751
-46.77,-56.10,0.10,0.12,0,0.00,100.00,Yes,2303
-48.57,-58.26,0.09,0.11,0,0.00,100.00,Yes,2357
-59.69,-71.60,0.10,0.12,0,0.00,100.00,Yes,2690
-60.59,-72.68,0.10,0.12,0,0.00,100.00,Yes,2717
-54.47,-65.35,0.46,0.55,1345,44.85,55.15,Yes,2534
-36.57,-43.87,0.19,0.23,0,0.00,100.00,Yes,1998
-43.67,-52.39,0.45,0.54,1713,57.12,42.88,Yes,2212
-47.17,-56.58,0.09,0.11,0,0.00,100.00,Yes,2315
-33.65,-40.36,0.08,0.10,0,0.00,100.00,Yes,1910
-46.20,-55.42,0.11,0.13,0,0.00,100.00,Yes,2286
-49.20,-59.02,0.09,0.11,0,0.00,100.00,Yes,2376
