avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count
14.59,18.37,0.54,0.67,0,0.00,100.00,Yes,376
24.65,32.09,0.53,0.69,0,0.00,100.00,Yes,118
8.31,10.27,0.54,0.67,0,0.00,100.00,Yes,571
0.53,0.64,0.55,0.66,0,0.00,100.00,Yes,881
17.34,21.98,0.53,0.68,0,0.00,100.00,Yes,302
14.11,17.93,0.53,0.67,0,0.00,100.00,Yes,375
5.39,6.63,0.54,0.66,0,0.00,100.00,Yes,659
18.59,23.62,0.53,0.68,0,0.00,100.00,Yes,270
26.18,34.09,0.51,0.67,0,0.00,100.00,Yes,85
21.07,27.07,0.52,0.67,0,0.00,100.00,Yes,204
23.75,30.81,0.52,0.67,0,0.00,100.00,Yes,139
21.92,28.07,0.53,0.68,0,0.00,100.00,Yes,187
18.61,23.84,0.53,0.68,0,0.00,100.00,Yes,262
-44.89,-53.84,0.37,0.45,0,0.00,100.00,Yes,2247
17.43,22.48,0.52,0.68,0,0.00,100.00,Yes,282
24.37,32.33,0.49,0.65,0,0.00,100.00,Yes,117
15.21,19.62,0.53,0.68,0,0.00,100.00,Yes,331
21.53,27.52,0.53,0.68,0,0.00,100.00,Yes,197
14.84,18.91,0.53,0.68,0,0.00,100.00,Yes,354
20.07,25.67,0.52,0.67,0,0.00,100.00,Yes,230
17.54,22.61,0.52,0.67,0,0.00,100.00,Yes,280
-33.91,-40.68,0.41,0.50,0,0.00,100.00,Yes,1918
21.64,28.12,0.53,0.68,0,0.00,100.00,Yes,184
13.97,17.79,0.54,0.68,0,0.00,100.00,Yes,375
20.75,26.85,0.52,0.68,0,0.00,100.00,Yes,206
18.45,23.50,0.53,0.68,0,0.00,100.00,Yes,271
14.96,19.45,0.51,0.66,0,0.00,100.00,Yes,328
26.02,34.19,0.51,0.67,0,0.00,100.00,Yes,86
-63.12,-75.72,0.12,0.15,0,0.00,100.00,Yes,2793
-25.39,-30.46,0.31,0.38,1182,39.41,60.59,Yes,1664
20.69,26.87,0.51,0.66,0,0.00,100.00,Yes,205
23.26,30.75,0.51,0.67,0,0.00,100.00,Yes,141
24.47,32.46,0.52,0.69,0,0.00,100.00,Yes,115
19.41,24.80,0.52,0.67,0,0.00,100.00,Yes,246
-61.75,-74.08,0.15,0.19,0,0.00,100.00,Yes,2752
-31.06,-37.26,0.50,0.60,0,0.00,100.00,Yes,1833
-61.02,-73.20,0.17,0.20,0,0.00,100.00,Yes,2730
-1.72,-2.07,0.54,0.65,0,0.00,100.00,Yes,954
